Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,U.FL-R-SMT-1,U.FL-R-SMT-1,211.77,-105.91,180.0,top
C1,100NF,C_0402_1005Metric,176.65,-92.2,180.0,top
C2,100NF,C_0402_1005Metric,175.65,-84.3,90.0,top
C3,47uF,C_0805_2012Metric,180.05,-71.2,90.0,top
C4,2.2uF,C_0805_2012Metric,179.6,-62.3,180.0,top
C5,100NF,C_0402_1005Metric,188.1,-93.3,0.0,top
C6,2.2uF,C_0805_2012Metric,179.6,-64.35,180.0,top
C7,2.2uF,C_0805_2012Metric,179.6,-66.4,180.0,top
C8,100NF,C_0402_1005Metric,197.62,-80.9,180.0,top
C9,100nF,C_0603_1608Metric,208.06,-105.795,-90.0,top
C10,4.7nF,C_0402_1005Metric,187.575,-62.625,180.0,top
C11,100NF,C_0402_1005Metric,190.25,-83.65,-90.0,top
C12,2.2uF,C_0805_2012Metric,179.6,-68.45,180.0,top
C13,47pF,C_0603_1608Metric,189.5,-63.1,-90.0,top
C14,100NF,C_0402_1005Metric,180.67,-79.75,90.0,top
C15,100NF,C_0402_1005Metric,194.1,-91.9,-90.0,top
C16,47uF,C_0805_2012Metric,172.0,-72.5,-90.0,top
C18,47uF,C_0805_2012Metric,189.15,-74.5,90.0,top
C19,47uF,C_0805_2012Metric,191.2,-74.5,90.0,top
C20,47uF,C_0805_2012Metric,187.1,-74.5,90.0,top
C21,47uF,C_0805_2012Metric,193.25,-74.45,90.0,top
C22,100NF,C_0402_1005Metric,184.5,-64.1,180.0,top
C23,10pF,C_0402_1005Metric,187.78,-78.08,-90.0,top
C24,10pF,C_0402_1005Metric,182.35,-79.65,90.0,top
C25,100NF,C_0402_1005Metric,175.2,-90.25,180.0,top
C26,100NF,C_0402_1005Metric,202.04,-92.38,180.0,top
C27,100NF,C_0402_1005Metric,202.46,-87.33,180.0,top
C28,100NF,C_0402_1005Metric,215.7,-98.25,90.0,top
C29,100NF,C_0402_1005Metric,211.375,-98.725,-90.0,top
C30,100NF,C_0402_1005Metric,198.52,-90.13,-90.0,top
C31,100NF,C_0402_1005Metric,198.71,-85.01,-90.0,top
C32,100NF,C_0402_1005Metric,213.76,-102.3,0.0,top
C33,100NF,C_0402_1005Metric,208.8,-102.1,0.0,top
D1,SMAJ16CA-13-F,DIOM4325X250N,213.1,-88.1,90.0,bottom
D2,BAS40WS 43 ,D_SOD-323,204.99,-80.63,-90.0,top
D3,B560C-13-F,D_SMC,195.9,-66.2,-90.0,bottom
D4,TJ-S3528UG2W9TLCCYRGB-A5,TOGIALED-TJ-S3528UG2W9TLCCYRGB,181.76,-97.99,0.0,top
D5,"PESD2CAN,215",SOT95P230X110-3N,175.6,-98.85,-90.0,top
D6,"PESD2CAN,215",SOT95P230X110-3N,205.4,-90.85,180.0,top
D7,"PESD2CAN,215",SOT95P230X110-3N,205.55,-84.8,180.0,top
D8,"PESD2CAN,215",SOT95P230X110-3N,214.78,-95.35,-90.0,top
D9,"PESD2CAN,215",SOT95P230X110-3N,211.0,-95.35,-90.0,top
D10,BAS70H 115,D_SOD-123F,196.6,-73.9,0.0,top
D11,B320AE-13,D_SMA,182.35,-74.75,0.0,top
J1,Conn_01x04_Female,PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left,175.35,-80.75,180.0,top
J2,USB_A TE Connectivity 292303-7 ,USB_A_TE_292303-7_Horizontal,209.73,-70.34,90.0,top
L1,470NH,L_0603_1608Metric,192.81,-91.31,-90.0,top
L2,7.2uH,L_Wuerth_WE-PDF,195.84,-66.87,-90.0,top
